customer_id,age,gender,education,employment_type,employment_years,annual_income,loan_amount,debt_to_income_ratio,credit_score,num_previous_loans,missed_payments_last_2yr,defaulted
CUST_00621,66,F,PhD,salaried,0,22359.0,80038,0.42,304,8,5,0
CUST_04385,69,,High School,Self-Employed,11,11480.0,46060,0.37,689,6,11,0
CUST_06794,51,,high school,,10,50334.0,77580,0.29,828,4,4,0
CUST_04562,54,,,self employed,12,78683.0,8234,0.43,810,2,6,1
CUST_09264,68,F,high school,Salaried,14,27420.0,30131,0.38,551,4,9,0
CUST_03132,41,Male,,,14,,85141,0.68,542,1,13,1
CUST_08710,31,Male,BACHELOR,Self-Employed,13,18595.0,87334,,447,1,5,1
CUST_05737,,Male,Bachelor,,,-99999.0,42424,0.2,311,5,0,1
CUST_07782,35,Female,High School,Salaried,12,42667.0,20445,0.39,654,1,3,0
CUST_06503,41,Female,Master,,29,46786.0,24476,0.36,372,1,5,1
CUST_00704,21,M,masters,Salaried,21,37113.0,89300,0.12,759,7,5,0
CUST_07666,23,Male,masters,Self-Employed,14,43674.0,50486,0.33,475,3,13,0
CUST_00096,62,Male,BACHELOR,Self-Employed,3,57792.0,8321,0.54,428,1,8,0
CUST_03118,21,male,high school,,11,49339.0,32560,0.34,565,2,1,0
CUST_02388,32,Male,Bachelor,Unemployed,27,,31991,0.52,622,8,8,0
CUST_04812,36,female,masters,SELF-EMPLOYED,14,45384.0,18536,0.35,391,8,1,0
CUST_02954,31,female,BACHELOR,,19,64069.0,36132,0.39,326,1,5,0
CUST_03527,32,female,Master,self employed,4,49181.0,83924,0.74,845,7,3,0
CUST_04022,,Male,BACHELOR,self employed,7,41523.0,97539,0.55,478,0,0,0
CUST_00510,54,female,Master,Salaried,29,52057.0,89258,0.67,360,6,3,1
CUST_00304,36,female,high school,Salaried,29,42621.0,38521,,441,9,13,1
CUST_05896,69,male,Master,salaried,,57798.0,65044,0.16,682,5,4,0
CUST_00033,45,M,masters,Self-Employed,,54227.0,49254,,613,3,3,0
CUST_08569,18,male,Bachelor,Salaried,,52809.0,35435,0.58,476,3,9,1
CUST_09880,40,male,,SELF-EMPLOYED,20,,84911,0.62,391,8,0,0
CUST_04657,21,female,phd,self employed,19,43968.0,30555,0.37,659,6,8,1
CUST_02691,32,female,masters,Self-Employed,13,79674.0,55907,0.82,540,1,8,1
CUST_04889,64,Female,Bachelor,Unemployed,8,55675.0,14491,0.66,444,1,10,1
CUST_09278,,male,,Self-Employed,17,71162.0,95123,0.36,821,4,13,0
CUST_09197,19,M,high school,Salaried,21,63379.0,46470,0.18,467,0,0,1
CUST_00315,25,male,phd,,23,43262.0,54934,0.38,538,9,11,1
CUST_04217,23,female,high school,salaried,1,40002.0,7560,0.39,446,0,7,1
